ORGANISME,ANNÉE ATTRIBUTION,TYPE D'AIDE,BÉNÉFICIARE,DESCRIPTION PROJET;MONTANT ATTRIBUÉ
PROCIREP,2016,création,LES FILMS D'UN JOUR,Aide à la production de DOCUMENTAIRES - LA PEAU DES RUES,5 000.00
PROCIREP,2016,création,LES FILMS DU BILBOQUET,Aide à la production de DOCUMENTAIRES - COMBAT( S) D' UNE VIE,4 000.00
PROCIREP,2016,création,A PERTE DE VUE,Aide à la production de DOCUMENTAIRES - L' OMBRE DE VENCESLAO,5 000.00
PROCIREP,2016,création,DYNAMO PRODUCTION,Aide à la production de DOCUMENTAIRES - ABDA ET LES AUTRES,5 000.00
PROCIREP,2016,création,FAITES UN VŒU,Aide à la production de DOCUMENTAIRES - PARIS 1986,4 000.00
PROCIREP,2016,création,REAL PRODUCTIONS,Aide à la production de DOCUMENTAIRES - MA PETITE HAITI,5 000.00
PROCIREP,2016,création,HIBOU PRODUCTION,Aide à la production de DOCUMENTAIRES - RONALD CREAGH; UNE ESSENCE DE L' UTOPIE,4 000.00
PROCIREP,2016,création,KANARI FILMS,Aide à la production de DOCUMENTAIRES - LA JOURNEE,4 000.00
PROCIREP,2016,création,EX NIHILO,Aide au programme de développement de projets de DOCUMENTAIRES - la joie de vivre,3 000.00
PROCIREP,2016,création,UN MONDE MEILLEUR,Aide au programme de développement de projets de DOCUMENTAIRES - hashtag#2017,4 000.00
PROCIREP,2016,création,TRANSMEDIA IMMERSIVE UNIVERSITY,Aide d'intérêt collectif - I LOVE TRANSMEDIA 5° EDITION,5 000.00
PROCIREP,2016,création,LE BLOG DOCUMENTAIRE,Aide d'intérêt collectif - LE BLOG DOCUMENTAIRE,5 000.00
PROCIREP,2016,création,COGITO,Aide d'intérêt collectif - 7° EDITION FESTIVAL INTL DU LIVRE D' ART ET DU FILM,5 000.00
ANGOA,2016,création,10 15 PRODUCTIONS,Aide à la production de Courts Métrages - Pourquoi j'ai écrit la Bible d'Alexandre STEIGER / A qui appartient le hasard ? De Thomas BARDINET / Eloge du pédalage de Thomas BARDINET,3 500.00
ANGOA,2016,création,ADASTRA FILMS,Aide à la production de Courts Métrages - Hôtel Ambassador de Shane ATKINSON / Aisling de Johanna VAUDE,2 450.00
ANGOA,2016,création,ANNEE ZERO,Aide à la production de Courts Métrages - La Chanson de Tiphaine RAFFIER / Sous le soleil exactement de Benoit PANNETIER / Venerman de T. VIALLE et S. ARLAUD / La Villette de Stéphane DEMOUSTIER,4 200.00
ANGOA,2016,création,BARNEY PRODUCTION,Aide à la production de Courts Métrages - Glister de Vincent TRICON / Le jour de ton jour de Steve ACHIEPO / Bête Noire de Maxime GILLIER / Sous Terre d'Hadrien BICHET,3 500.00
ANGOA,2016,création,BIEN OU BIEN PRODUCTIONS,Aide à la production de Courts Métrages - Ramdam de ZANGRO / Corporate d'Emmanuel TENENBAUM,2 100.00
ANGOA,2016,création,CITRON BIEN,Aide à la production de Courts Métrages - Vieil ours de Chen CHEN / Un peu perdu d'Hélène DUCROCQ,1 750.00
ANGOA,2016,création,DEUXIEME LIGNE FILMS,Aide à la production de Courts Métrages - Les Osselets d'Elodie BOUEDEC / Plein Ouest d'Alice DOUARD,2 100.00
ANGOA,2016,création,DUBLIN FILMS,Aide à la production de Courts Métrages - La Veillée de Jonathan MILLET / Le Vice caché des Navajos de Laetitia MIKLES / Avedda Magique de Selim BENTOUNES,3 150.00
ANGOA,2016,création,EASY TIGER,Aide à la production de Courts Métrages - A distance de Gauthier BATTOUE / Off-Ice de Pedro COLLANTES,4 550.00
ANGOA,2016,création,EDDY PRODUCTION,Aide à la production de Courts Métrages - Le Mans 55 de Quentin BAILLEUX / Benidorm (ex. AM / FM) de Raphaëlle TINLAND,1 750.00
