ORGANISME,ANNÉE ATTRIBUTION,TYPE D'AIDE,BÉNÉFICIARE,DESCRIPTION PROJET;MONTANT ATTRIBUÉ
SPEDIDAM,2016,diffusion du spectacle vivant,Cie Swing'Hommes,Mozart envoyé en Enfer pour terminer son Requiem ! Le divin compositeur ne se verra ouvrir la porte du Paradis que s'il parvient à terminer son requiem. Il sera accueilli en Enfer pour une «résidenc,9 500.24
SPEDIDAM,2016,diffusion du spectacle vivant,Isis Production Spectacles,L'activité de l'Ensemble Apostroph' conctrétise une tournée de quelques dates en France et au Japon autour des oeuvres de Pascal Zavaro. Music for Youth; partenaire du projet; associe des musiciens,8 000.15
SPEDIDAM,2016,diffusion du spectacle vivant,MUSIC'O'FIL, LA MARQUISE; 16 CONCERTS DONT 5 FESTIVALS L'Alliée d'une vie d'artiste ! Jamais le slogan n'a été aussi pertinent ! Surtout lorsque; comme cette année; l'aide de la SPEDIDAM peut aider LA MARQUISE,6 000.10
SPEDIDAM,2016,diffusion du spectacle vivant,PIANO AMBULANT,Les prochains mois du Piano Ambulant vont s'organiser autour de 3 projets. Les 5 musiciens du collectifs vont profiter de la période estivale et de l'invitation de L'Epicerie culturelle pour jouer e,9 000.19
SPEDIDAM,2016,diffusion du spectacle vivant,Compagnie Louise Moaty (LM compagnie),L'association LM a pour objet de promouvoir la création; la production; la diffusion de projets culturel et d'oeuvres artistiques. En 2016; 3 projets à la fois nettement différenciés et pourtant comp,8 000.17
SPEDIDAM,2016,diffusion du spectacle vivant,CREA Centre d'Eveil Artistique,Nouvelle créaiton du CREA 'Rose et Rose' Pour Rose; l'enfer c'est le collège. Ses camarades l'insultent; la ridiculisent; la bousculent; la fontchanter... Elle est une brebis face à une meute de lou,8 000.19
SPEDIDAM,2016,diffusion du spectacle vivant,La Toute Petite Compagnie,La Toute Petite Compagnie présente Boite de Nuits; un spectacle musical pour les enfants dès 3 ans. Il s'agit du 2e opus d'un tryptique autour des Boites; le premier étant Boite à Gants créé en 2011,6 000.23
SPEDIDAM,2016,diffusion du spectacle vivant,JAZZ AU CONFLUENT,Le jazz sous toutes ses formes : concerts; jam sessions; peinture; photo; cinéma... Organisation mensuelle de nconcerts avec un temps fort en mars; la quinzaine Jazzenville. Jazz au Confluent organi,5 400.34
SPEDIDAM,2016,diffusion du spectacle vivant,ADONE,Qui sont Les Fatals Picards ? Tout d'abord un vrai groupe de rock; qui a su asseoir sa réputation grce à une rare présence scénique depuis plus d'une décennie; à raison d'une presque centaine de dat,9 000.25
SPEDIDAM,2016,diffusion du spectacle vivant,The Bridge,Shore to Shore est le quatrième ensemble issu du dispositif The Bridge. Il s'agit du premier 'retour' d'un groupe vers la France après une formation à Chicago. Dans le cadre de cette tournée; un dis,5 500.28
SPEDIDAM,2016,diffusion du spectacle vivant,MELI MELODIE (38600),SALES GOSSES ! Nouveau spectacle des Méli Mômes (disponible à compter d'octobre 2016) Au menu; beaucoup d'humour; d'ironie et de tendresse. Entre réalisme et poésie; les Méli Mômes s'interrogent sur,7 000.60
SPEDIDAM,2016,diffusion du spectacle vivant,Les productions du mouflon,Les voies du monde; c'est quatre instrumentistes ancrés dans la modernité ; qui s'exilent dans un répertoire vocal ancestral issu des traditions orales des humaintés collectées dans le formidable di,6 000.58
SPEDIDAM,2016,diffusion du spectacle vivant,One-Shot,L'Ensemble TaCTuS et la dessinatrice Marion Cluzel s'associent dans ce nouveau spectacle pour donner vie en direct en musique et en images au premier chef d'oeuvre de Jack London; L'Appel de la Forêt,7 500.53
SPEDIDAM,2016,diffusion du spectacle vivant,Le mur du songe,Farces et Attrapes est un conte pour les petits et les grands; écrit en chansons et en dialogues. Nous vous emmenons dans un royaume imaginaire; où les gens vivent en paix; mais sur lequel pèse une,8 500.51
SPEDIDAM,2016,diffusion du spectacle vivant,NAIADE PRODUCTIONS,L'envie de travailler sur un nouveau répertoire intégrant le chant et la musique pour du concert est commune entre tous les musiciens du projet 'Douar'. Intention artistique A travers nos racines br,5 700.35
SPEDIDAM,2016,diffusion du spectacle vivant,GINGER SOUNDS,L'année 2017 s'annonce riche et prolifique pour Ginger Sounds. La nouvelle étoile de la pop nubienne Alsarah ainsi que le charismatique multi-instrumentiste et chanteur Tamer Abu Ghazaleh ont tous d,7 000.11
SPEDIDAM,2016,diffusion du spectacle vivant,LE DECOR DE L'ENVERS,  Le MEGAPHONE TOUR ou l'accompagnement des talents émergents; pour les artistes qui feront la scène de demain.   LE MÉGAPHONE TOUR; c'est un festival itinérant de poche; voulu et pensé comme un dis,8 000.08
SPEDIDAM,2016,diffusion du spectacle vivant,Ryoanji, ANIMALITASUn projet musical de l'ensemble ]h[iatus et Athénor les productions Et si nous prenions le temps de regarder et d'écouter le monde animal pour nous reconnaître nous-mêmes ? Une chienne; Sk,6 600.03
SPEDIDAM,2016,diffusion du spectacle vivant,La Fabrique,Amoureux de musique tant que de restauration; nous vous proposons l'association de nos deux passions et vous accueillons pourLes jeudis jazz club Aux commandes de la programmation  riche et éclectiq,9 000.16
SPEDIDAM,2016,diffusion du spectacle vivant,Société des Concerts Nivernais,Fondé en 1932;l'orchestre des Concerts Nivernais est une association 1901 qui réunit des musiciens professionnels de la région; des étudiants et des amateurs de haut niveau qui ont comme but de se r,8 000.22
SPEDIDAM,2016,diffusion du spectacle vivant,ISON,Quand l'Académie Royale de Musique; soucieuse de conserver ses privilèges et son public; empêcha les acteurs forains de chanter; que firent-ils ?Ils firent chanter le public; pardi !C'est donc d'une,8 500.14
SPEDIDAM,2016,diffusion du spectacle vivant,Côté Artistik,Auteure; chanteuse; comédienne et danseuse de claquettes; Christel Kern entre en scène depuis plus de 20 ans. Elle est entourée par ses musiciens qui subissent avec humour sa spontanéité et les anec,9 000.19
SPEDIDAM,2016,diffusion du spectacle vivant,Ode et Lyre,Sailing Songs; ce sont des chants et légendes des mers entre asie et occident.Depuis toute petite; je suis attirée par le grand bleu; plein d'un monde fascinant; de croyances; d'histoires vraies ou,5 400.21
SPEDIDAM,2016,diffusion du spectacle vivant,Association Française pour le Cirque de demain,Fondé en 1977; ce Festival est une manifestation exceptionnelle où; pour la première fois; de jeunes artistes interprètes vont avoir la possibilité de présenter leur art devant un jury international,6 000.25
SPEDIDAM,2016,diffusion du spectacle vivant,LA WAIDE CIE, Bâtisseurs; les frères Gianni et Frédérico Bricolo le sont comme leurs pères et grand-pères depuis des générations. Si leurs aïeux élevaient des cathédrales en Picardie; eux fabriquent des habitati,8 000.23
SPEDIDAM,2016,diffusion du spectacle vivant,Chauffeur est dans le pré,Imidiwen est né en 2001 dans les campements touaregs  de l'Adrar des Iforas à l'extrémité nord du Mali. Notre passion commune de la musique; notre curiosité partagée ont créé une passerelle entre le,7 000.34
SPEDIDAM,2016,diffusion du spectacle vivant,QUOI DE NEUF DOCTEUR,Pour cette saison 2016/2017; Quoi de Neuf Docteur met en avant la diffusion de deux créations discographiques enregistrés en 2016 des trios « Journal d'une apparition » sur des textes de Robert Desn,8 000.33
SPEDIDAM,2016,diffusion du spectacle vivant,Chapeau l'Artiste,En 2011; quatre garçons pleins d'avenir accompagnés de leurs célèbres cravates; créaient un spectacle musical humoristique efficace et touchant; autour d'un ensemble à vents jusqu'ici jamais pensé n,7 000.30
SPEDIDAM,2016,diffusion du spectacle vivant,Bruno Prédebon Productions,On attribue souvent au terme « populaire »; un sens artistique dévalorisant. « Populaire » signifie réellement : « qui appartient au peuple ».  Et « Marseillons ! » appartient au peuple de Marseille,7 000.46
SPEDIDAM,2016,diffusion du spectacle vivant,LA GRANDE BOUTIQUE,KREIZ BREIZH AKADEMI est un programme d'accompagnement professionnel destiné à transmettre des techniques basées sur l'entendement modal et la musique populaire bretonne. Cinq précédents collectifs,8 000.29
SPEDIDAM,2016,diffusion du spectacle vivant,Percal Tango,Tres luceros Sandra Rumolino & Kevin Seddiki Elle est l'une des plus belles voix du tango. Lui est l'un des guitaristes le plus talentueux de sa génération. Dès les premières notes; leurs sens de l',6 900.30
SPEDIDAM,2016,diffusion du spectacle vivant,Couleur d'Orange,El Nino Lorca est une création sur la vie et l'oeuvre du poète espagnol Federico Garcia Lorca; conçue par ChristinaRosmini; auteure-compositrice-interprète.Ce spectacle musical empreint de fantaisie,6 000.95
SPEDIDAM,2016,diffusion du spectacle vivant,3 ANES PROD,Le spectacle Garçons est de retour aux Trois Baudets pour un nouvel épisode Garçons II et avec une nouvelle recrue ! Garçons II ce sont 3 filles qui chantent des chansons d'hommes; de mecs; de types,6 000.75
SPEDIDAM,2016,diffusion du spectacle vivant,FA 7,Lettres des Iles Baladar  est une commande musicale de l'Ensemble FA7 à Michèle Reverdy pour la musique sur le texte de Jacques Prévert. « Ainsi commence l'histoire : « Autrefois; et cela fait déjà,8 150.72
SPEDIDAM,2016,diffusion du spectacle vivant,Music Techni Live Productions - MTL,KARIM KACEL EN CONCERT AVEC QUATRE MUSICIENS NOUVEL ALBUM : ENCORE UN JOURKARIM KACELEN CONCERT 15 février 2016 à 20h - Pan Piper Paris   Après s'être consacré en 2009 à un spectacle-hommage à Serge,7 000.69
SPEDIDAM,2016,diffusion du spectacle vivant,L'OISIVERAIE,Des compositions et des arrangements ciselés interprétés par des musicien(ne)s à l'énergie brute.Leur liberté; leur énergie et leur inventivité séduisent. Leur humour; leur présence et leur générosi,8 000.70
SPEDIDAM,2016,diffusion du spectacle vivant,LE POISSON VOLANT,LES GASPARDS / LITTLE NEW YORK DANS TON BLED S'étant nourris de styles musicaux éclectiques ils sont peu à peu passés à la composition afin d'exprimer leur personnalité et leur originalité. Leurs mu,5 500.82
SPEDIDAM,2016,diffusion du spectacle vivant,VOCAL 26,Dans les années 90 ; Evasion croisait Anne Sylvestre sur la scène de l'Hexagone Scène Nationale de Meylan (38). Déjà à cette époque; beaucoup de respect mutuel. Avec les années; le respect s'est tra,9 000.73
SPEDIDAM,2016,diffusion du spectacle vivant,ATEA (Avenir Tout En Art),Mordus profondément par les crocs cuivrés d'un serpent venu d'Addis-Abeba; possédés par la mystique venimeuse des grooves; les Parisiens d'Arat Kilo ont; depuis leur infection en 2008; fait de l'Eth,5 001.00
SPEDIDAM,2016,diffusion du spectacle vivant,Interlude,Le projet Pulsación regroupe plusieurs formations le temps d'une tournée autour d'un programme d'oeuvres écrites sud-américaines qui a pour fil conducteur de concilier avec force musique populaire e,8 000.03
SPEDIDAM,2016,diffusion du spectacle vivant,Le Fanfaron,Radio Kaizman est un groupe de musique actuelle; fanfare groove / hip-hop / jazz brass band. Composé de 9 musicien (rap/chant; 2flûtes/chants; sax; trompette; trombone; souba; 2 percus); le groupe e,8 000.02
SPEDIDAM,2016,diffusion du spectacle vivant,NOTE ONLY,INITIATIVE H est l'une des « sensations parmi les grands ensembles hexagonaux » (Jazz News) sur la nouvelle scène Jazz Française qu'il contribue à animer. Membre de Grands Formats; le 'le grand ense,5 500.05
SPEDIDAM,2016,diffusion du spectacle vivant,MINUTE PAPILLON CIE,La Cie Minute Papillon est une cie lyrique; dont la spécificité est de proposer des créations originales nourries à la fois de siècles d'opéra et de la vitalité de la création contemporaine. Nos spe,8 300.07
SPEDIDAM,2016,diffusion du spectacle vivant,QUARTET BUCCAL,Le Quartet Buccal approfondit son travail artistique autour de l'intimité. Les femmes aux yeux ouverts sont dangereuses a été créé dans une version acoustique en sept. 2015. Pour cette 9ème création,6 000.25
SPEDIDAM,2016,diffusion du spectacle vivant,ASSOCIATION DU QUATUOR BYRON,La tournée printemps- été-automne 2016 sera l'occasion d'une grande collaboration dans le cadre d'un concert mythologique autour du mélodrame de Georges Benda Ariane à Naxos; pour quatuor à cordes e,9 000.33
SPEDIDAM,2016,diffusion du spectacle vivant,SALAMAH,Le premier album de Balaphonics “Afromassivesoundsystem”; sorti le 25 mars 2016; est un patchwork d'influences tissé à partir de musiques du continent africain dans son ensemble. A travers des compo,9 000.36
SPEDIDAM,2016,diffusion du spectacle vivant,ASIN,Le Bringuebal est un collectif de musiciens et de chanteurs qui organise des 'bals à danser à tue-tête' depuis 2001. Il est fondé sur un principe simple; la rencontre musicale avec un public dansant,9 000.39
SPEDIDAM,2016,diffusion du spectacle vivant,IDO spectacles,Sweet Screamin Jones chanteur/saxophoniste étonnant; nous propose de voyager à travers l'histoire des chansons populaires afro-américaines du jazz du blues et du boogie. Tour à tour Crooner; Bluesma,6 000.42
SPEDIDAM,2016,diffusion du spectacle vivant,Association pour la Création et l'Edition en Liberté (ACEL),Trop rare depuis quelques années; la violoniste Debora Seffer signe son grand retour scénique à l'occasion de la sortie de son nouvel album; le bien-nommé « Au croisement des chemins ». Violoniste v,6 000.06
SPEDIDAM,2016,diffusion du spectacle vivant,Vox cantoris,Les Riches Heures de la Cathédrale de Mexico  En 1667; l'intérieur de la Cathédrale de Mexico (la plus ancienne d'Amérique) fut achevé et celle-ci fut consacrée la même année. Les archives musicales;,6 700.08
SPEDIDAM,2016,diffusion du spectacle vivant,CYCLONE PRODUCTION,« Léo et Léon – Passeurs de Rêves » est une création musicale yonnaise née en 2013. Etienne Guilloteau et Maxime Chaillot ont co-écrit et co-composer le spectacle. Initialement dans une version duo;,5 700.04
SPEDIDAM,2016,diffusion du spectacle vivant,LES MUSICIENS DE ST JULIEN,Joseph est bien marié; Les plus beaux noëls baroquesUn programme de noëls baroques conçu et arrangé par François Lazarevitch à partir des oeuvres des XVIIe et XVIIIe siècle de Charpentier; Delalande;,8 500.03
SPEDIDAM,2016,diffusion du spectacle vivant,Autour de Peter,Shower Power est un spectacle musical a capella où la finesse vocale des 6 chanteurs contraste avec les situations cocasses et burlesques. Ces personnages de salle de bain reprennent des chansons co,6 000.01
SPEDIDAM,2016,diffusion du spectacle vivant,Rue Zasky,  « La vie en vrac » est un duo voix accordéon sur des textes de Yanowski et des compositions de David Venitucci; un cheminement de chanson en chanson; d'improvisation en improvisation; de tableau e,5 500.57
SPEDIDAM,2016,diffusion du spectacle vivant,Amani et Framboise,La Cie 'Demain on Change Tout' est née vers la fin de l'année 2013. A l'occasion d'ateliers participatifs dans les locaux de 'La Villa Mais d'Ici' (Aubervilliers 93 France) : Sarah Letouzey; constru,7 000.46
SPEDIDAM,2016,diffusion du spectacle vivant,L'AFFICHE,Sea Song(e)s Encouragé par le déferlement d'enthousiasme qu'a suscité « Over The Hills »; relecture par le imuZZic Grand Ensemble de l'oeuvre de Carla Bley ”Escalator Over The Hills”; Bruno Tocanne a,5 600.62
SPEDIDAM,2016,diffusion du spectacle vivant,TAPAGE PRODUCTION,LaBulKrack est une fanfare composée de: 1 basse et 1 guitare électrique; 2 percussionnistes et 11 soufflants. Compositions originales d'Hugo Bernier à la fois virtuoses et poétiques d'influences mul,8 000.72
SPEDIDAM,2016,diffusion du spectacle vivant,Renaissance pianistique,  Création LUDMILLA GUILMAULT Satie est un artiste atypique avec ses compositions de titres cocasses; ses annotations surprenantes; sa graphie élégante et contournée; ses hésitations entre beuglant,8 000.70
SPEDIDAM,2016,diffusion du spectacle vivant,MaronRprod,Dans le cadre des 25 ans du groupe KOM ZOT d'ou le nom du spectacle kom zot25; proposera à son public ses titres standards avec de nouveaux arrangements mais aussi des nouvelles chansons réalisés ce,7 000.06
SPEDIDAM,2016,diffusion du spectacle vivant,LES MUSIQUES DE LA BOULANGERE,Une plongée chuchotante et sonnante au coeur d'histoires; intimes et publiques. Une partition pour plus de 200 interprètes; aboutissement d'une résidence de deux ans aux Archives nationales; composit,7 000.84
SPEDIDAM,2016,diffusion du spectacle vivant,A.A Carrefour des talents 17,Suite de la saison 5.... Cityjazzy en charente maritime. Plus besoin d'habiter une grande ville pour assister à un concert avec des artistes habitués des 'grandes salles' et des meilleurs festivals;,7 000.75
SPEDIDAM,2016,diffusion du spectacle vivant,Les Lumières,Créé en 1999; Café Zimmermann se situe aux premiers rangs du concert baroque en France et en l'Europe. Sous la conduite du violoniste Pablo Valetti et de la claveciniste Céline Frisch; l'ensemble ré,8 000.77
SPEDIDAM,2016,diffusion du spectacle vivant,FLEMING WELT,Le projet artistique oscille entre comédie musicale américaine (Stephen Sondheim) et opéra rock. La composition musicale puise ses inspirations dans des sources telles que Melody Nelson de Serge Gai,7 000.79
SPEDIDAM,2016,diffusion du spectacle vivant,BELMACHINE,Dans le cas précis d' Assommons les Pauvres; nous avons choisi une forme qui parait simple : celle d'un concert de rock augmenté d'apparitions de personnages.   Il n'est pas question ici de séduire;,7 000.98
SPEDIDAM,2016,diffusion du spectacle vivant,Compagnie Tangram,OZMA est un ensemble de jazz empreint de rock; de pop et de musiques du monde. Un univers résolument actuel pour une musique à la fois aventureuse et accessible; qu'OZMA a pu partager à travers 5 al,8 000.02
SPEDIDAM,2016,diffusion du spectacle vivant,CONCERTS DE VILLE D'AVRAY,Notre prochaine saison de concerts inclut le Festival Menuhin 2nde édition; après le beau succès de mars 2016. Les jeunes talents sont concepteurs et acteurs du Festival; merci pour votre soutien qu,5 800.07
SPEDIDAM,2016,diffusion du spectacle vivant,Fortissimo Musiques,Notre association offre au public Lyonnais et Rhône Alpin une programmation inédite et la possibilité de partager des moments musicaux uniques autour d'une saison de musique de chambre. Pour commenc,7 000.08
SPEDIDAM,2016,diffusion du spectacle vivant,AMIS DE FUOCO E CENERE,La dernière aide reçue de la Spedidam concernait la diffusion de 3 programmes en juin-juillet 2015 au Canada. Nous avions alors rencontré notre agent en Amérique du Nord; Barbara Scales avec qui nou,6 500.03
SPEDIDAM,2016,diffusion du spectacle vivant,Delalune,' Jean-Philippe BRUTTMANN_ Tournée Folia flamenca'  Après son succès lors de la création (soutenue par la Spedidam) donnée devant plusieurs milliers de spectacteurs aux Théâtre Prémol et Sainte-Mari,5 500.25
SPEDIDAM,2016,diffusion du spectacle vivant,JAZZ EN FACE,En 2017; le Pee Bee fêtera ses 10 ans. Une décennie consacrée à la composition  avec un effectif de 12 musiciens pratiquement inchangé depuis le début. Affilié à la Fédération des « Grands Formats »,8 000.12
SPEDIDAM,2016,diffusion du spectacle vivant,Musika Songes,La demande adressée à la Spedidam concerne la création et la diffusion du prochain spectacle de Stracho Temelkovski: 'Stracho Trio - Création 2016'. La création du 'Stracho Trio' représente une étap,5 500.15
SPEDIDAM,2016,diffusion du spectacle vivant,Full Rhizome,Ce texte est le début du document 'Note de production Spedidam'. faute de place; nous ne pouvons le faire figurer dans son intégralité. Merci de vous reporter à ce document pour avoir une présentati,9 000.11
SPEDIDAM,2016,diffusion du spectacle vivant,L'IMPOSSIBLE (72),Nous qui avions perdu le monde est une grande fresque musicale; un projet poétique qui raconte le voyage éclaté aux quatre coins de la Terre du jeune homme auxbaskets sales (chants 1 à 4) et de la f,6 000.35
SPEDIDAM,2016,diffusion du spectacle vivant,Catavento,Aurélie & VeriocaChanson couleur Brésil Cette tournée 2016/2017 est la continuité de la tournée 2015/2016 de ces deux artistes suite à la sortie de leur deuxième album “Pas à pas“.La première tournée,6 180.32
SPEDIDAM,2016,diffusion du spectacle vivant,du blues O' swing,Du blues O' swing; Asso loi de 1901; veut faire connaitre et apprécier la musique de jazz historique: gospel; blues; new orleans; swing; boogie; jazz manouche AU MEILLEUR NIVEAU D'EXCELLENCE POSSIBL,6 000.27
SPEDIDAM,2016,diffusion du spectacle vivant,WEEPERS CIRCUS,C'est l'histoire de cinq personnages mystérieux qui ont fait le tour du monde avec leur musique. Des histoires; ils en ont à vous raconter car ils sont allés partout; mais alors vraiment partout ! A,9 000.29
SPEDIDAM,2016,diffusion du spectacle vivant,DEDA,Ce spectacle a été créé une première fois en 2004 avec les Ballets de Monte Carlo et il était chorégraphié par Sidi Larbi Cherkoui. Il va être repris par la Compagnie de danse Introdans pour 8 repré,9 600.50
SPEDIDAM,2016,diffusion du spectacle vivant,Cross-Media Culture,CROSS-MEDIA CULTURE est une agence de conseil et d'ingénierie culturel et événementiel en France et à l'international. Elle accompagne artistes et professionnels de la culture dans leurs projets de,6 000.45
SPEDIDAM,2016,diffusion du spectacle vivant,JEREZ LE CAM ENSEMBLE,  Cantos nomades est un récit musical qui retrace les traversées des migrants. Trois histoires en parallèle; trois destins qui tentent de survivre et racontent leurs parcours. La traversée des Pyrén,7 000.05
SPEDIDAM,2016,diffusion du spectacle vivant,Miroirs Etendus,Les Constellations; une théorie « Comme seule trace du futur : un journal de bord. Celui d'une étrange équipée envoyée dans l'espace à la recherche des étoiles. Car; sur Terre; tout est devenu noir,9 000.09
SPEDIDAM,2016,diffusion du spectacle vivant,Balandras Editions,La chanteuse québécoise Geneviève Morissette est arrivée en France début 2015 pour 15 jours. Elle n'est jamais repartie. Sa rencontre avec Laurent Balandras; lui a permis de publier son 1er album ici,6 100.15
SPEDIDAM,2016,diffusion du spectacle vivant,Kristoff K.Roll,La naissance du projet  En janvier 2015; une esquisse de cette création est donnée au GMEM à Marseille; durant le Festival Reevox; puis en novembre 15; un nouveau temps de création aboutit à deux jo,7 000.17
SPEDIDAM,2016,diffusion du spectacle vivant,AMZER NEVEZ,EOG de Jañlug er Mouel  Amzer Nevez accueillera les artistes de « EOG»; projet dirigé par Jañlug ER MOUEL pour une résidence de création en novembre et décembre 2016. En 2014; Jañlug er Mouel; Thoma,6 000.21
SPEDIDAM,2016,diffusion du spectacle vivant,MELODINOTE,Après être allé en Allemagne à deux reprises en 2014 et 2015 pour une série de concerts sur Köln; Trier; Freiburg; Eschweiler; Rösrath…; le groupe a décidé de renouveler une troisième fois cette tou,5 500.24
SPEDIDAM,2016,diffusion du spectacle vivant,Assonances,Depuis sa création en 2009; l'ensemble Actéon dirigé par Pierre Boudeville; réunissant de jeunes chanteurs et instrumentistes professionnels; met toute son énergie à faire découvrir les merveilles c,7 200.28
SPEDIDAM,2016,diffusion du spectacle vivant,MAQUIZ'ART,Jazz Off' est un festival sur une durée de cinq mois par an; se fixant comme but de proposer à un large public; de voir et découvrir les artistes que l'on rencontre habituellement sur les scènes d'é,8 000.30
SPEDIDAM,2016,diffusion du spectacle vivant,Les Soeurs Grées,Titre : tournée Tülü de Pierre Redon dans le cadre de l'année croisée France-Colombie Tülü est un projet transdisciplinaire et participatif alliant une installation cartographique et une création mu,6 500.33
SPEDIDAM,2016,diffusion du spectacle vivant,La Chambre aux Echos,La Passion de Simone raconte la tentative d'une femme de trouver un exemple dans la vie de la philosophe Simone Weil. Elle tente de la raconter en chantant jusqu'à la revivre dans sa chair; à la man,5 500.07
SPEDIDAM,2016,diffusion du spectacle vivant,Gaya Music Productions,Fort d'un Quartet à l'énergie intempestive; soudé par une forte amitié; six albums; dix années de jeu collectif intense et aventureux; le saxophoniste- Samy Thiebault- en perpétuelle quête présente,8 500.42
SPEDIDAM,2016,diffusion du spectacle vivant,Jazz musiques productions,'Mechanics' est le second album du groupe que je mène depuis 2011. Ce disque vient de recevoir une victoire du jazz ('Album de l'année') et c'est fort de cette récente récompense que nous repartons,8 000.40
SPEDIDAM,2016,diffusion du spectacle vivant,Cachalot,'La cabanote'Spectacle sonore et visuel pour des bambins de 6 mois à 36 mois Musiciennes:Anne montagard: clarinette; voix; percussionsAmanda Gardone: contrebasse; voix; percussion Vous entrez dans es,8 000.46
SPEDIDAM,2016,diffusion du spectacle vivant,EdS - Ecole du Spectateur,L'Ecole du Spectateur a pour vocation de faire découvrir la pratique scénique à des enfants et adolescents dans des conditions artistiques riches et exigentes. Ainsi; chaque année; nous procédons à,6 000.67
SPEDIDAM,2016,diffusion du spectacle vivant,voQue,Douze chansons; tirées de tous les répertoires; détournées en parole et musique ou originales; chantées–parlées par un compositeur–poète et quatre musiciennes–parlantes. Un voyage; de paysages famil,9 000.65
SPEDIDAM,2016,diffusion du spectacle vivant,L'autre côté du Monde Production,Bab Assalam s'affranchit à nouveau des frontières et des conventions. Trois musiciens et un designer sonore; un comédien (manipulateur d'objet) et un vidéaste; nous emmènent cette fois à traver,5 400.64
SPEDIDAM,2016,diffusion du spectacle vivant,Papa Luna Productions,SYNOPIS  Emile déménage avec ses parents ce soir ! Il va quitter son école. Le hic; c'est qu'il est amoureux de sa camarade Louise depuis la maternelle. Ainsi; aidé par son meilleur ami Bagou et Mau,5 500.59
SPEDIDAM,2016,diffusion du spectacle vivant,FORTISSIMO,Fortissimo Orléans propose tous les ans depuis de nombreuses années une saison de musique de chambre à Orléans avec des interpretes de renom international. Nous avons déja inivité les plus prestigie,8 800.60
SPEDIDAM,2016,diffusion du spectacle vivant,ARTS ET SPECTACLES PRODUCTION,JAZZ CLUB ET TALONS AIGUILLES est le résultat du désir du trio de jazz vocal SWEET SYSTEM de proposer; avec exigence et rigueur; du jazz au grand public. Habituées des festivals de jazz; tant en Fra,9 500.61
SPEDIDAM,2016,diffusion du spectacle vivant,MOONFLOWERS,Cleo T. propose un projet musical hors norme et en dehors des sentiers battus depuis 2011;avec un premier album produit par John Parish(PJ Harvey). Prix Paris Jeune Talents 2013; le projet est soute,6 000.74
SPEDIDAM,2016,diffusion du spectacle vivant,TOUS DEHORS,Le nouveau projet pour jeune public de Laurent Dehors intitulé Margotte et les tontons timbrés sera nourri de son expérience de papa de cinq enfants ; ces derniers lui fournissant chaque jour un sol,5 600.72
SPEDIDAM,2016,diffusion du spectacle vivant,ENSEMBLE CAIRN,Le compositeur Jérôme Combier imagine Campo Santo; l'exploration de Pyramiden; une ville soviétique abandonnée. À partir d'une collecte de matière visuelle et sonore; il compose une partition qui re,9 600.03
SPEDIDAM,2016,diffusion du spectacle vivant,La 7è Oreille,Le Petit Roi - Ciné-concert à partir de 3 ans par Les Albert.    Le Petit Roi et autres contes est un programme de 5 courts-métrage d'animation hongrois. Les histoires originales de princes; de prin,5 600.06
SPEDIDAM,2016,diffusion du spectacle vivant,Quatuor Anches Hantées,Le Quatuor Anches Hantées sort des sentiers battus du concert classique pour proposer au public un rendez-vous inédit. L'humour; aussi curieux que cela puisse paraître; est un formidable vecteur d'ap,6 000.11
SPEDIDAM,2016,diffusion du spectacle vivant,LOST IN TRADITIONS,Prolongeant le désir de formuler un projet artistique autour de la dimension du conte; BARBE BLEUE esquisse la rencontre d'une narration portée par la comédienne Martina Raccanelli de la Cie « Les N,7 000.13
SPEDIDAM,2016,diffusion du spectacle vivant,TOBROGOÏ PRODUCTIONS,NILOK 4TET (Octobre 2013)  s'est constitué à l'initiative du contrebassiste et compositeur Colin Jore; autour d'une équipe de musicien avec qui il travaille depuis plus de 20 ans dans d'autres forma,5 600.40
SPEDIDAM,2016,diffusion du spectacle vivant,LA FORGE COMPOSITEURS IMPROVISATEURS REUNIS,Ce spectacle explorera les méandres du personnage fantasque d'Alice; au cours de son voyage initiatique au Pays des Merveilles; d'après Lewis Carroll. Il s'agira d'une version dédiée à tous les publ,9 600.42
SPEDIDAM,2016,diffusion du spectacle vivant,SIRVENTES,Second album pour Djé Baléti ! Dans ce nouvel opus il scrute son temps; affûte sa poésie franco-occitane et brandit mystique carnavalesque et hymne aux cultures plurielles comme antidote à la morosi,6 500.43
SPEDIDAM,2016,diffusion du spectacle vivant,La Familia,La résidence de création et la tournée en amont de la sortie de l'album de Cabadzi constituent un moment essentiel dans le développement de ce projet autour de Bertrand Blier. Il est ambitieux artis,7 500.59
SPEDIDAM,2016,diffusion du spectacle vivant,La Même Prod,Maracujah est un groupe de Saint Malo distillant un puissant mélange de musiques ensoleillées. Oscillant entre le reggae et le rock ils imposent leur REG'N'ROLL partout où ils passent et totalisent,8 000.53
SPEDIDAM,2016,diffusion du spectacle vivant,AJMI,Le projet de l'AJMi est guidé par quatre axes principaux : > Un choix esthétique résolu : le jazz et les musiques improvisées : Le projet de l'AJMi affirme la conviction qu'il faut offrir une perman,7 800.55
SPEDIDAM,2016,diffusion du spectacle vivant,ATELIER DE MUSIQUE DU HAVRE,L'Atelier de musique du Havre en collaboration avec PiedNu propose depuis plusieurs années la programmation de musiques contemporaines sous forme de concerts ponctuels à l'année et d'événements récu,7 500.06
